iter	RMSE
168	4024.250683
169	4017.950373
170	4013.780249
171	4011.116908
172	4008.381892
173	4004.7129
174	4002.067698
175	3999.669919
176	3998.549081
177	3995.778357
178	3993.630222
179	3989.034034
180	3984.594424
181	3982.528591
182	3980.762786
183	3979.469263
184	3976.240654
185	3971.799878
186	3968.493748
187	3967.060269
188	3965.916785
189	3962.308684
190	3960.162284
191	3959.136057
192	3955.829079
193	3953.683867
194	3949.578343
195	3947.184256
196	3943.910856
197	3941.801311
198	3939.67055
199	3935.046346
200	3932.656486
201	3929.134357
202	3927.190113
203	3926.266513
204	3925.059635
205	3922.29128
206	3920.441807
207	3915.928268
208	3914.107536
209	3910.560301
210	3908.820945
211	3904.157335
212	3902.363244
213	3901.206201
214	3899.609332
215	3897.789754
216	3895.17615
217	3892.901914
218	3890.323087
219	3888.197626
220	3886.947259
221	3882.406745
222	3879.206167
223	3875.832418
224	3873.007562
225	3872.295315
226	3870.554153
227	3868.609544
228	3868.384064
229	3867.795226
230	3865.531508
231	3863.217319
232	3860.185528
233	3858.427877
234	3855.914848
235	3852.600218
236	3851.947331
237	3849.329405
238	3847.730079
239	3845.798265
240	3844.785424
241	3842.618508
242	3841.68588
243	3839.549283
244	3839.073658
245	3838.012687
246	3835.658044
247	3832.381032
248	3831.901565
249	3828.65951
250	3827.259594
251	3823.727604
252	3823.199688
253	3822.111382
254	3820.880897
255	3819.88421
256	3818.141272
257	3817.192879
258	3816.537739
259	3814.873952
260	3812.045287
261	3808.450958
262	3806.841344
263	3803.692061
264	3800.112151
265	3797.237967
266	3794.144739
267	3792.972741
268	3792.224264
269	3790.041036
270	3787.764888
271	3785.142727
272	3782.181567
273	3780.008756
274	3779.590798
275	3779.076985
276	3775.932734
277	3771.587071
278	3770.748824
279	3767.926352
280	3764.019962
281	3762.589139
282	3759.821668
283	3759.008002
284	3755.696632
285	3754.014949
286	3753.041961
287	3749.966421
288	3748.662486
289	3746.897689
290	3743.650406
291	3740.827713
292	3737.593178
293	3735.55066
294	3734.68249
295	3732.882852
296	3730.276811
297	3727.791876
298	3726.298779
299	3725.731169
300	3724.311179
301	3720.301656
302	3718.993863
303	3717.410384
304	3713.837568
305	3711.724465
306	3711.346826
307	3710.693242
308	3710.364805
309	3708.881545
310	3705.168175
311	3703.632374
312	3700.147263
313	3699.801439
314	3695.930653
315	3695.337461
316	3692.184084
317	3691.019205
318	3690.234408
319	3689.116556
320	3687.85657
321	3687.539978
322	3686.866134
323	3684.475386
324	3682.721485
325	3681.015388
326	3679.452759
327	3675.750901
328	3674.566073
329	3673.167606
330	3671.098563
331	3667.223168
332	3665.750249
333	3663.482491
334	3660.738833
335	3659.469637
336	3657.726035
337	3655.374186
338	3653.933088
339	3650.437133
340	3649.082997
341	3648.791936
342	3648.226768
343	3646.978894
344	3646.446127
345	3644.22042
346	3642.451241
347	3641.413288
348	3638.517799
349	3638.181279
350	3635.827154
351	3633.419893
352	3630.187089
353	3628.328735
354	3626.09973
355	3624.110979
356	3621.653168
357	3617.357116
358	3615.879741
359	3613.850228
360	3612.485333
361	3607.718159
362	3606.952047
363	3603.920312
364	3602.00789
365	3601.12287
366	3600.383389
367	3598.409446
368	3595.452989
369	3591.781164
370	3589.719992
371	3588.571528
372	3586.452825
373	3585.089804
374	3582.294573
375	3580.36345
376	3577.83086
377	3576.604213
378	3576.057181
379	3573.061961
380	3569.095505
381	3566.403263
382	3564.667031
383	3564.045393
384	3562.609676
385	3562.092195
386	3561.765837
387	3561.525653
388	3560.966109
389	3556.285128
390	3552.740037
391	3552.290062
392	3550.503625
393	3549.902218
394	3546.500072
395	3543.858228
396	3541.466951
397	3538.706787
398	3536.583183
399	3532.623046
400	3529.394669
401	3524.974539
402	3524.101941
403	3522.580299
404	3520.194419
405	3517.436906
406	3515.055898
407	3513.443178
408	3512.197967
409	3510.156053
410	3509.48457
411	3507.805008
412	3507.497108
413	3503.77571
414	3501.478024
415	3498.01721
416	3497.291676
417	3495.088821
418	3493.497822
419	3492.46174
420	3490.49169
421	3486.498841
422	3485.546276
423	3484.351091
424	3483.986493
425	3482.979289
426	3482.132183
427	3480.826689
428	3477.996993
429	3476.211748
430	3474.427215
431	3472.826833
432	3471.963219
433	3470.646407
434	3469.429504
435	3468.637005
436	3467.285483
437	3464.679235
438	3461.008391
439	3459.989715
440	3457.870005
441	3454.933677
442	3454.71211
443	3451.338345
444	3448.128928
445	3445.106184
446	3443.219835
447	3440.641302
448	3438.933207
449	3435.59045
450	3434.876166
451	3433.632473
452	3432.940262
453	3431.102126
454	3429.024594
455	3426.453414
456	3424.05175
457	3422.383581
458	3420.914861
459	3420.134942
460	3418.689097
461	3415.355985
462	3411.935319
463	3409.237616
464	3406.108177
465	3405.275398
466	3403.814688
467	3401.598245
468	3400.318679
469	3399.527748
470	3396.67968
471	3395.672558
472	3393.336648
473	3392.856864
474	3392.475453
475	3390.234969
476	3389.797403
477	3388.457449
478	3386.33742
479	3385.473337
480	3383.052198
481	3381.018423
482	3378.935526
483	3377.34772
484	3375.322226
485	3372.594333
486	3369.238736
487	3367.83602
488	3364.744392
489	3362.538416
490	3362.006711
491	3361.283351
492	3360.133171
493	3357.090373
494	3355.667042
495	3352.814319
496	3350.555203
497	3348.009622
498	3346.095436
499	3342.919395
500	3341.969129
501	3340.300392
502	3339.833471
503	3336.822788
504	3335.798827
505	3334.535798
506	3333.074065
507	3332.291532
508	3331.779776
509	3330.732519
510	3329.240469
511	3327.031288
512	3325.901493
513	3325.707359
514	3324.655637
515	3321.774705
516	3320.45361
517	3318.660135
518	3317.079101
519	3315.897753
520	3315.235247
521	3312.550027
522	3311.558481
523	3311.293469
524	3310.856816
525	3310.273021
526	3308.390338
527	3306.87788
528	3305.239104
529	3302.83413
530	3300.573542
531	3299.666989
532	3299.045855
533	3294.774081
534	3293.338672
535	3291.684789
536	3289.175819
537	3286.398782
538	3284.176609
539	3282.815302
540	3280.903752
541	3280.113345
542	3278.508619
543	3277.195762
544	3275.501173
545	3274.59763
546	3273.558856
547	3271.904983
548	3270.893292
549	3268.630733
550	3265.637266
551	3264.999505
552	3263.027004
553	3262.353142
554	3261.368228
555	3260.787924
556	3259.431377
557	3258.757042
558	3257.991374
559	3256.764046
560	3254.945197
561	3252.174722
562	3250.266843
563	3248.698854
564	3245.593619
565	3244.00114
566	3243.501832
567	3240.402614
568	3239.546875
569	3238.647423
570	3237.048142
571	3232.924408
572	3232.482832
573	3231.096754
574	3229.163442
575	3225.96202
576	3224.456999
577	3223.374876
578	3222.952392
579	3221.582609
580	3220.550973
581	3220.226517
582	3219.518658
583	3217.478226
584	3216.402096
585	3215.688949
586	3214.341897
587	3213.675587
588	3211.972309
589	3209.022717
590	3208.440707
591	3207.623398
592	3204.077623
593	3203.851572
594	3201.027962
595	3200.355205
596	3199.911791
597	3198.510423
598	3197.209345
599	3196.026496
600	3194.472555
601	3193.819035
602	3190.810906
603	3190.458765
604	3190.101668
605	3188.247071
606	3187.442587
607	3187.010692
608	3186.155025
609	3184.714551
610	3184.437155
611	3183.59273
612	3183.313282
613	3182.423239
614	3180.757173
615	3179.215997
616	3178.947889
617	3176.827646
618	3173.930798
619	3172.976362
620	3170.783541
621	3168.000786
622	3165.726354
623	3163.511073
624	3161.241851
625	3160.696611
626	3159.575761
627	3157.28043
628	3156.458068
629	3154.603478
630	3152.943369
631	3151.146923
632	3150.174612
633	3147.956431
634	3145.607334
635	3143.706133
636	3142.152176
637	3139.526534
638	3138.520108
639	3137.08387
640	3135.744999
641	3135.400341
642	3134.833506
643	3133.290682
644	3131.851024
645	3131.139657
646	3130.640757
647	3129.637793
648	3127.15156
649	3125.780853
650	3124.089139
651	3123.036736
652	3122.536849
653	3120.409553
654	3119.745271
655	3119.438601
656	3117.386555
657	3115.318559
658	3114.284802
659	3112.211144
660	3111.476741
661	3110.864983
662	3108.692083
663	3107.465193
664	3107.263769
665	3106.134109
666	3105.155198
667	3102.892224
668	3101.40154
669	3100.100005
670	3098.577772
671	3095.671354
672	3095.097559
673	3094.316182
674	3093.986439
675	3092.543264
676	3092.138537
677	3091.387543
678	3088.529513
679	3087.995388
680	3087.588116
681	3085.346307
682	3085.022865
683	3082.169123
684	3079.697965
685	3079.525221
686	3079.194587
687	3078.780296
688	3078.367019
689	3077.046173
690	3075.096865
691	3074.368517
692	3074.149718
693	3072.30732
694	3068.919369
695	3068.294621
696	3065.96936
697	3064.681524
698	3064.433395
699	3062.490291
700	3061.236931
701	3058.737295
702	3056.65636
703	3055.687217
704	3055.101219
705	3054.541531
706	3054.29716
707	3052.647507
708	3050.550429
709	3047.738012
710	3045.138692
711	3044.837365
712	3042.141189
713	3040.680878
714	3039.870699
715	3039.111137
716	3037.421967
717	3036.533845
718	3035.986264
719	3033.482747
720	3032.053662
721	3031.634214
722	3031.03365
723	3030.372713
724	3028.467987
725	3027.237654
726	3025.229202
727	3024.596297
728	3024.130182
729	3023.296933
730	3022.60616
731	3018.955439
732	3018.382571
733	3017.016475
734	3016.376868
735	3016.086375
736	3014.665228
737	3012.267337
738	3011.809878
739	3011.552662
740	3011.244219
741	3009.328347
742	3007.945421
743	3006.401623
744	3006.007474
745	3005.481501
746	3004.069147
747	3002.913159
748	3001.897821
749	3000.627274
750	3000.112491
751	2998.479817
752	2996.265838
753	2995.979095
754	2995.724961
755	2993.026758
756	2992.588147
757	2990.430835
758	2989.961462
759	2987.245145
760	2985.840544
761	2983.422553
762	2982.308446
763	2980.791521
764	2978.184034
765	2976.91587
766	2975.329918
767	2973.78173
768	2972.730077
769	2971.626854
770	2971.114474
771	2970.728838
772	2970.208574
773	2969.899253
774	2967.400851
775	2966.821071
776	2964.289113
777	2960.925284
778	2960.362722
779	2959.16946
780	2958.010778
781	2957.556341
782	2955.384006
783	2954.363374
784	2952.423187
785	2951.771641
786	2950.8479
787	2950.19718
788	2947.704173
789	2946.323157
790	2945.924101
791	2943.620012
792	2941.360766
793	2939.671791
794	2938.048218
795	2936.767402
796	2935.846563
797	2934.192758
798	2933.816319
799	2931.84484
800	2929.873194
801	2927.962507
802	2925.543329
803	2925.314017
804	2923.931576
805	2923.014523
806	2922.736804
807	2922.390443
808	2922.119778
809	2920.819416
810	2919.207623
811	2917.966884
812	2917.456657
813	2917.033214
814	2916.779601
815	2916.130721
816	2914.876826
817	2912.521344
818	2912.009113
819	2910.937965
820	2909.977749
821	2909.651108
822	2909.228516
823	2906.98476
824	2905.496532
825	2903.428949
826	2902.554944
827	2900.520667
828	2899.237892
829	2898.250577
830	2897.664293
831	2896.468292
832	2895.687053
833	2894.768467
834	2893.170723
835	2891.238996
836	2889.617174
837	2887.269122
838	2886.165687
839	2885.773521
840	2883.776853
841	2881.59622
842	2881.50106
843	2881.104995
844	2878.419516
845	2877.534194
846	2876.70733
847	2875.784068
848	2875.208614
849	2873.866327
850	2872.408509
851	2871.606311
852	2870.699337
853	2870.141582
854	2869.051862
855	2867.677303
856	2867.233084
857	2866.460186
858	2866.006854
859	2865.121061
860	2862.884572
861	2860.817998
862	2859.643867
863	2858.813076
864	2857.473158
865	2855.539251
866	2854.713169
867	2853.531748
868	2852.327676
869	2850.286765
870	2848.60385
871	2847.37298
872	2846.61337
873	2846.287685
874	2846.008979
875	2844.067024
876	2843.480691
877	2842.466717
878	2841.708769
879	2840.372533
880	2837.569173
881	2836.595219
882	2834.327245
883	2834.003123
884	2832.61013
885	2832.084697
886	2830.111942
887	2828.522027
888	2827.529138
889	2826.810304
890	2825.698227
891	2825.097942
892	2823.574294
893	2822.84987
894	2821.499328
895	2820.538297
896	2820.006815
897	2819.70693
898	2819.431754
899	2817.529092
900	2817.134993
901	2816.606277
902	2816.307268
903	2815.913129
904	2814.539797
905	2813.959873
906	2813.673021
907	2812.03516
908	2811.188546
909	2808.508044
910	2807.31438
911	2805.57595
912	2805.106999
913	2803.072574
914	2802.147348
915	2801.351448
916	2800.758581
917	2798.41401
918	2798.188165
919	2797.28216
920	2796.483197
921	2795.225776
922	2794.499585
923	2793.046621
924	2792.591865
925	2791.897204
926	2791.44539
927	2791.136483
928	2789.910558
929	2787.791513
930	2787.100384
931	2786.735473
932	2785.197112
933	2784.851279
934	2784.337818
935	2783.621738
936	2782.94083
937	2782.69154
938	2781.648762
939	2780.884674
940	2780.190236
941	2779.39572
942	2779.154409
943	2778.156717
944	2776.921823
945	2776.586091
946	2773.545318
947	2772.651625
948	2771.550104
949	2770.648848
950	2769.720205
951	2767.244271
952	2766.888389
953	2764.778162
954	2763.651029
955	2762.970154
956	2761.954435
957	2761.778992
958	2760.313408
959	2759.218291
960	2757.486562
961	2757.028038
962	2755.186675
963	2752.788858
964	2751.469034
965	2750.357614
966	2748.887515
967	2748.239606
968	2746.67433
969	2745.748477
970	2744.513234
971	2743.92686
972	2743.218183
973	2741.807609
974	2741.601147
975	2741.13339
976	2740.611654
977	2737.858603
978	2736.957296
979	2736.33898
980	2735.003149
981	2733.639686
982	2732.572148
983	2731.572481
984	2730.328624
985	2728.993771
986	2727.994073
987	2727.580176
988	2727.267209
989	2726.98335
990	2726.621745
991	2725.981669
992	2724.874464
993	2722.3707
994	2720.591177
995	2718.300611
996	2716.974316
997	2716.486832
998	2715.868645
999	2715.027555
